pep	gene	mean1	mean2	cv
gene1_pep2	gene1	277724.938263081	277724.938263081	0.622651023341401
gene1_pep4	gene1	277147.82871556	277147.82871556	0.525807411838442
gene1_pep7	gene1	104.909665662821	104.909665662821	0.643646850428388
gene1_pep11	gene1	1631787.14544658	1631787.14544658	0.614604719361013
gene2_pep4	gene2	5585752.2778348	5585752.2778348	0.313851549255496
gene2_pep10	gene2	58336.1545681413	58336.1545681413	0.6853798364998
gene2_pep13	gene2	3609.06485068146	3609.06485068146	0.445009319718696
gene3_pep7	gene3	577926.434601385	577926.434601385	0.513755342691856
gene3_pep13	gene3	1659.99920839598	1659.99920839598	0.148130196702614
gene4_pep1	gene4	2536.00108822248	1268.00054411124	0.577795162478241
gene4_pep10	gene4	10716.4586190691	5358.22930953455	0.686965544270649
gene4_pep15	gene4	1035.61820818344	517.80910409172	0.381390453635752
gene5_pep4	gene5	260689.067536381	260689.067536381	0.499688064912072
gene5_pep12	gene5	23374.7797811163	23374.7797811163	1.06180310343626
gene6_pep7	gene6	521.927091984974	521.927091984974	0.823524181718852
gene6_pep10	gene6	7995.55126052251	7995.55126052251	0.198997375692898
gene6_pep12	gene6	89236.4594840478	89236.4594840478	0.473640616019081
gene7_pep5	gene7	538.492586073675	538.492586073675	0.543898552812915
gene8_pep1	gene8	13033.5532723074	6516.77663615369	0.420944473202208
gene8_pep5	gene8	965.951836582827	482.975918291414	1.09743969734716
gene8_pep6	gene8	4204.83069679278	2102.41534839639	0.35559584390408
gene8_pep10	gene8	12701.3326602412	6350.66633012062	0.693729500480529
gene10_pep6	gene10	78326.0065555456	78326.0065555456	0.299785666197382
gene10_pep13	gene10	909.38324335198	909.38324335198	0.37342589029061
gene10_pep14	gene10	13004.2433601938	13004.2433601938	0.419105349655891
gene11_pep5	gene11	271425.140336747	135712.570168374	0.386241152806754
gene11_pep9	gene11	6278.26290419509	3139.13145209755	0.412613754092441
gene11_pep10	gene11	20553969.2713616	10276984.6356808	0.534866912100558
gene11_pep14	gene11	107242.031182347	53621.0155911735	0.21364374435323
gene11_pep15	gene11	75539.8672408113	37769.9336204057	0.297137870228098
gene12_pep9	gene12	3823.68371885929	7647.36743771858	0.763644994360106
gene12_pep13	gene12	46407.8603880344	92815.7207760688	0.463427768053181
gene13_pep6	gene13	1671192.35006068	1671192.35006068	0.305171552062811
gene13_pep7	gene13	153779.084132641	153779.084132641	0.430234600525914
gene13_pep10	gene13	2609.63845957448	2609.63845957448	1.11611579803924
gene13_pep14	gene13	2063.76090596159	2063.76090596159	0.566619505071816
gene14_pep3	gene14	38357.8646749988	38357.8646749988	1.26451044495934
gene14_pep10	gene14	11446545.1729785	11446545.1729785	0.864989789940158
gene15_pep1	gene15	41812.0579272961	41812.0579272961	1.01845370932091
gene15_pep4	gene15	29598.2656889233	29598.2656889233	0.482659510916279
gene15_pep6	gene15	94676.971012051	94676.971012051	0.672435870347495
gene16_pep9	gene16	1038759.22535525	1038759.22535525	0.85122957932898
gene16_pep10	gene16	95299.9365542735	95299.9365542735	0.633131352214271
gene16_pep14	gene16	1865652.75780268	1865652.75780268	0.801183075528701
gene17_pep1	gene17	28038.9893392992	28038.9893392992	0.639867674937
gene17_pep10	gene17	23786.5667791112	23786.5667791112	0.315230646275752
gene18_pep7	gene18	47010.0968389128	47010.0968389128	0.237676960833816
gene18_pep8	gene18	709673.412626298	709673.412626298	1.02965631394314
gene18_pep13	gene18	31106.2579606862	31106.2579606862	0.467187294657791
gene18_pep15	gene18	808105.2512216	808105.2512216	0.271274346707696
gene19_pep4	gene19	483.254548093776	483.254548093776	0.576950311336099
gene19_pep5	gene19	25198.8471075067	25198.8471075067	0.265897656036114
gene19_pep9	gene19	16035.4107115578	16035.4107115578	0.454952747795959
gene19_pep10	gene19	59250.1449914069	59250.1449914069	0.215672444941268
gene19_pep11	gene19	8205.31005172626	8205.31005172626	0.262659030988893
gene20_pep4	gene20	169778.084837822	169778.084837822	0.248339911837417
gene20_pep5	gene20	1060.27160197018	1060.27160197018	0.404049479471155
gene20_pep13	gene20	1135722.99532206	1135722.99532206	0.685685905335352
gene20_pep14	gene20	112792.353497808	112792.353497808	0.404286013126347
gene21_pep1	gene21	2194.90723879567	2194.90723879567	0.263703879962515
gene21_pep5	gene21	13327.5903438073	13327.5903438073	0.46217286162563
gene21_pep11	gene21	9143107.88964761	9143107.88964761	0.532372669971558
gene22_pep1	gene22	37777.4526075338	37777.4526075338	0.137638246913859
