norm	nquant	impute	iquant	scale	span	npcs	k	test	perm	nhits	ntests	time
TMM	0.75	sample_lod	0.01	1	0.5	5	7	trend		3	30	14:27:52
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	trend		0	30	14:27:53
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	trend		5	30	14:27:53
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	trend		3	30	14:27:53
TMM	0.75	unif_global_lod	0	1	0.5	5	7	trend		4	30	14:27:53
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	trend		2	30	14:27:54
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	trend		5	30	14:27:54
TMM	0.75	sample_lod	0.01	1	0.5	5	7	deqms		3	30	14:27:54
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	deqms		3	30	14:27:54
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	deqms		0	30	14:27:55
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	deqms		2	30	14:27:55
TMM	0.75	unif_global_lod	0	1	0.5	5	7	deqms		2	30	14:27:55
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	deqms		2	30	14:27:55
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	deqms		2	30	14:27:56
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	msqrob		NA	30	14:27:56
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	msqrob		NA	30	14:27:57
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	msqrob		NA	30	14:27:58
TMM	0.75	unif_global_lod	0	1	0.5	5	7	msqrob		NA	30	14:27:59
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	msqrob		NA	30	14:28:00
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	msqrob		NA	30	14:28:00
TMM	0.75	sample_lod	0.01	1	0.5	5	7	proda		2	30	14:28:01
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	proda		0	30	14:28:03
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	proda		3	30	14:28:03
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	proda		2	30	14:28:05
TMM	0.75	unif_global_lod	0	1	0.5	5	7	proda		0	30	14:28:08
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	proda		2	30	14:28:09
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	proda		0	30	14:28:10
TMM	0.75	sample_lod	0.01	1	0.5	5	7	prolfqua		3	30	14:28:10
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	prolfqua		0	30	14:28:11
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	prolfqua		6	30	14:28:11
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	prolfqua		2	30	14:28:11
TMM	0.75	unif_global_lod	0	1	0.5	5	7	prolfqua		0	30	14:28:12
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	prolfqua		2	30	14:28:12
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	prolfqua		3	30	14:28:12
RLE	0.75	sample_lod	0.01	1	0.5	5	7	trend		4	30	14:28:13
RLE	0.75	unif_sample_lod	0	1	0.5	5	7	trend		3	30	14:28:13
RLE	0.75	unif_sample_lod	0.1	1	0.5	5	7	trend		4	30	14:28:13
RLE	0.75	unif_sample_lod	0.25	1	0.5	5	7	trend		4	30	14:28:13
RLE	0.75	unif_global_lod	0	1	0.5	5	7	trend		3	30	14:28:14
RLE	0.75	unif_global_lod	0.1	1	0.5	5	7	trend		5	30	14:28:14
RLE	0.75	unif_global_lod	0.25	1	0.5	5	7	trend		2	30	14:28:14
RLE	0.75	sample_lod	0.01	1	0.5	5	7	deqms		4	30	14:28:14
RLE	0.75	unif_sample_lod	0	1	0.5	5	7	deqms		4	30	14:28:15
RLE	0.75	unif_sample_lod	0.1	1	0.5	5	7	deqms		3	30	14:28:15
RLE	0.75	unif_sample_lod	0.25	1	0.5	5	7	deqms		3	30	14:28:15
RLE	0.75	unif_global_lod	0	1	0.5	5	7	deqms		3	30	14:28:15
RLE	0.75	unif_global_lod	0.1	1	0.5	5	7	deqms		4	30	14:28:16
RLE	0.75	unif_global_lod	0.25	1	0.5	5	7	deqms		4	30	14:28:16
RLE	0.75	unif_sample_lod	0	1	0.5	5	7	msqrob		NA	30	14:28:17
RLE	0.75	unif_sample_lod	0.1	1	0.5	5	7	msqrob		NA	30	14:28:18
RLE	0.75	unif_sample_lod	0.25	1	0.5	5	7	msqrob		NA	30	14:28:18
RLE	0.75	unif_global_lod	0	1	0.5	5	7	msqrob		NA	30	14:28:19
RLE	0.75	unif_global_lod	0.1	1	0.5	5	7	msqrob		NA	30	14:28:20
RLE	0.75	unif_global_lod	0.25	1	0.5	5	7	msqrob		NA	30	14:28:21
RLE	0.75	sample_lod	0.01	1	0.5	5	7	proda		4	30	14:28:21
RLE	0.75	unif_sample_lod	0	1	0.5	5	7	proda		1	30	14:28:23
RLE	0.75	unif_sample_lod	0.1	1	0.5	5	7	proda		1	30	14:28:27
