norm	norm_quant	impute	imp_quant	scale	span	test	perm	nhits	ntests	time
TMM	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:01:41
TMM	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:01:41
TMM	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	0	30	12:01:41
TMM	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:01:41
TMM	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:01:41
TMM	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:01:41
TMM	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:01:41
TMM	0.75	sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:42
TMM	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:01:42
TMM	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:01:42
TMM	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:42
TMM	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:01:42
TMM	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:01:42
TMM	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:01:42
RLE	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:01:42
RLE	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:01:42
RLE	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	0	30	12:01:42
RLE	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:01:42
RLE	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:01:43
RLE	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:01:43
RLE	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:01:43
RLE	0.75	sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:43
RLE	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:01:43
RLE	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:01:43
RLE	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:43
RLE	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:01:43
RLE	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:01:43
RLE	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:01:43
quantile	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:01:44
quantile	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:01:44
quantile	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	0	30	12:01:44
quantile	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:01:44
quantile	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:01:44
quantile	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:01:44
quantile	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:01:44
quantile	0.75	sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:44
quantile	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:01:44
quantile	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:01:44
quantile	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:44
quantile	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:01:45
quantile	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:01:45
quantile	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:01:45
cpm	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:01:45
cpm	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:01:45
cpm	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	0	30	12:01:45
cpm	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:01:45
cpm	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:01:45
cpm	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:01:45
cpm	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:01:45
cpm	0.75	sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:46
cpm	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:01:46
cpm	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:01:46
cpm	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:46
cpm	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:01:46
cpm	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:01:46
cpm	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:01:46
log2	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:01:46
log2	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:01:46
log2	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	0	30	12:01:47
log2	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:01:47
log2	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:01:47
log2	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:01:47
log2	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:01:47
log2	0.75	sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:47
log2	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:01:47
log2	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:01:47
log2	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:01:47
log2	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:01:47
log2	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:01:47
log2	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:01:48
