grp1_samp1	grp1_samp2	grp1_samp3	grp1_samp4	grp1_samp5	grp1_samp6	grp2_samp1	grp2_samp2	grp2_samp3	grp2_samp4	grp2_samp5	grp2_samp6
gene1_pep2	270541	230485	483117	489822	200567	392855	416395	478389	NA	50333	410226	380360
gene1_pep4	NA	417396	258409	88606	389129	138400	166429	278084	230004	367779	404674	230842
gene1_pep7	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	NA	NA
gene1_pep11	32850	1319874	1729048	2138281	2263972	3564247	253901	3462439	3158903	2617848	516490	749212
gene2_pep4	6175619	5851631	7471226	4425320	4286078	4012361	6135534	9318553	2360328	2842109	4374304	3664959
gene2_pep10	55561	74824	380905	55092	82480	NA	92380	38601	NA	68042	24189	55177
gene2_pep13	NA	NA	NA	NA	2350	NA	5181	NA	NA	2507	1882	4282
gene3_pep7	440294	831257	662770	1213253	327531	555186	271766	164649	824139	692146	423278	902921
gene3_pep13	1872	NA	NA	1571	NA	NA	1643	NA	1522	NA	NA	1951
gene4_pep1	3101	2102	NA	NA	NA	2425	527	NA	NA	NA	NA	NA
gene4_pep10	NA	NA	NA	15225	NA	NA	8269	NA	NA	NA	4599	7821
gene4_pep15	NA	NA	NA	NA	712	1133	NA	NA	NA	NA	541	NA
gene5_pep4	NA	225233	139369	222900	63580	312759	388415	486436	504664	362288	265487	233756
gene5_pep12	NA	337285	48116	65220	23589	45670	28422	NA	2184	5620	38915	28688
gene6_pep7	NA	NA	163	NA	715	NA	NA	1050	NA	NA	15095	NA
gene6_pep10	NA	NA	10595	8017	NA	NA	5745	NA	NA	6693	NA	NA
gene6_pep12	130249	87386	96520	187725	57941	26226	NA	45301	33261	136089	NA	95234
gene7_pep5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene8_pep1	NA	NA	NA	NA	14882	8864	NA	4158	5358	7073	7020	NA
gene8_pep5	NA	NA	245	NA	391514	3003	NA	NA	NA	NA	NA	NA
gene8_pep6	NA	NA	6149	NA	2581	4914	NA	NA	NA	NA	NA	1862
gene8_pep10	NA	NA	14361	11442	1001	NA	10851	11003	6500	8902	13473	8296
gene10_pep6	98400	40272	103491	74321	59384	85612	106871	73708	NA	96995	39536	81663
gene10_pep13	NA	1014	NA	NA	1257	NA	NA	1721	NA	NA	NA	NA
gene10_pep14	12592	27917	NA	NA	NA	10773	NA	6405	11366	9526	14123	NA
gene11_pep5	217837	447286	205810	368263	167871	212871	NA	161001	125065	245116	211980	100297
gene11_pep9	7387	7222	6498	NA	6987	NA	3559	5851	2336	NA	3570	3328
gene11_pep10	14617618	27635465	12059979	22658316	30690870	34525387	5816886	3823875	15163946	9155907	4720768	10747655
gene11_pep14	118112	86891	113539	114139	80488	107561	NA	60273	63574	89901	68788	NA
gene11_pep15	94835	78237	101793	NA	75552	75126	42878	23016	46291	31560	NA	42838
gene12_pep9	6685	6311	NA	NA	NA	7921	6872	3356	NA	NA	18803	13495
gene12_pep13	35095	45567	66756	52237	45739	59112	NA	NA	100584	89079	NA	102219
gene13_pep6	1534059	2729401	1909461	1805329	1492174	1062539	882252	2055710	2067911	1070892	NA	1786506
gene13_pep7	278635	154096	127348	209393	212234	142649	166503	175292	217131	125225	196401	50156
gene13_pep10	NA	9271	NA	1200	2524	NA	NA	NA	10250	NA	NA	3740
gene13_pep14	NA	NA	NA	NA	NA	2142	NA	1963	1689	1728	3623	NA
gene14_pep3	17526	55322	1320	59597	NA	36123	33551	30796	47998	NA	NA	2407
gene14_pep10	21817458	NA	NA	26489491	13873539	11917386	1625262	20015218	13346062	9702464	19943467	184715
gene15_pep1	77031	23794	NA	73533	19827	NA	71983	63854	53515	3237	80317	5715904
gene15_pep4	36605	26257	NA	20588	42996	25785	6894	NA	33751	25530	32104	24790
gene15_pep6	108800	97207	NA	128289	40652	127616	99140	136088	66904	NA	14042	166948
gene16_pep9	1564268	896831	1881372	1920393	1055276	1614319	1896482	883258	2351525	936418	1514097	907203
gene16_pep10	81310	66388	NA	64333	124516	210014	154871	151106	149251	107766	107096	133076
gene16_pep14	NA	310067	342017	1352170	126867	978062	3617118	2158392	3660921	247	1095304	337894
gene17_pep1	22864	15512	47144	33419	NA	24709	NA	NA	19412	NA	40249	35960
gene17_pep10	33311	NA	15037	15580	28615	27803	27705	26655	13539	10735	29671	25155
gene18_pep7	NA	58053	41293	58093	53958	26344	33274	NA	42945	40607	48898	51531
gene18_pep8	2125146	658611	206897	662185	NA	2182491	452309	1047154	136937	850560	175531	600293
gene18_pep13	NA	42897	NA	NA	NA	45240	17010	35118	24352	12115	NA	NA
gene18_pep15	725883	976914	1012180	1367165	934615	755790	528492	509771	453689	1107664	720654	608178
gene19_pep4	635	455	659	582	NA	NA	NA	NA	NA	NA	496	NA
gene19_pep5	31004	21905	25685	20432	34169	29334	30562	31421	27996	NA	30721	33472
gene19_pep9	9817	NA	20453	11564	4093539	NA	12539	21704	NA	23839	13867	17460
gene19_pep10	48196	60099	NA	NA	65610	57365	54938	54230	57596	NA	56130	50428
gene19_pep11	NA	11641	9683	NA	10086	8935	8134	9717	10557	NA	8570	6054
gene20_pep4	158759	210133	205211	272535	147848	229480	112215	194603	138086	153773	NA	123994
gene20_pep5	NA	1398	NA	NA	NA	894	NA	NA	1400	1669	NA	3403
gene20_pep13	1578626	1323569	1669353	1336998	1841976	849897	632931	1821315	541841	1622827	1607335	915911
gene20_pep14	124249	73998	137948	118211	148962	96940	NA	84063	7586	153162	153767	NA
gene21_pep1	NA	NA	NA	NA	NA	2096	NA	1710	2450	1788	NA	NA
gene21_pep5	20037	21857	18136	15016	NA	15018	12451	10986	23319	6163	17943	23060
gene21_pep11	11873650	13649875	12651492	9062728	5493665	NA	2841875	16384052	14980954	1362709	16685888	3675765
gene22_pep1	37795	42470	37129	36888	35846	34422	32058	44960	43113	NA	34688	35973
gene22_pep2	548815	523012	712474	500630	943176	993353	482949	835327	464193	151924	705835	463268
gene22_pep15	346927	148242	358754	340840	309911	82474	203095	380210	82790	317783	103825	159871
gene23_pep6	45799652	7790097	13121563	13727136	51870215	539934	34158120	NA	22606860	29510877	82452745	51365487
gene24_pep8	138106	148061	146299	NA	NA	285048	593323	330043	NA	378078	473911	428844
gene24_pep10	219	NA	NA	851870	NA	NA	NA	NA	437	NA	NA	298
gene24_pep11	111401	118520	110619	NA	97629	101471	258101	305084	226767	335653	326709	NA
gene24_pep12	159092911	12474	76854933	82533914	179454191	440065899	671284185	220955429	966128	488440	489235212	NA
gene24_pep13	1327	2874	NA	NA	3459	NA	NA	7294	NA	3898	2706	9144
gene25_pep1	2042139	2029787	3580318	3312103	1712664	3688190	5895863	1950775	485218	4380810	5736571	5417506
gene25_pep13	92220	157148	109216	73940	51885	148914	87359	138308	289485	161138	294239	189993
gene25_pep14	NA	NA	NA	203	NA	312280	NA	1286	NA	NA	NA	NA
gene26_pep3	73699045	94903526	84670534	98377360	116721511	96446792	98326310	69063745	85202099	84030107	93559557	90325714
gene26_pep10	59288	NA	9044	246202	3563782	15442	49971	12087	90708	4529524	1842	51639
gene26_pep14	3762	NA	NA	3370	NA	6650	5580	NA	6394	NA	4114	8184
gene27_pep2	56503	128922	103238	136212	96544	4390	6078584	72530	14451	68025	83505	16646
gene27_pep6	444263	477009	350173	831081	448459	435251	404846	648850	373615	442499	540325	783393
gene27_pep12	70808	74900	66627	51792	61901	69858	56423	56777	66920	53263	46723	65139
gene28_pep2	5523341	NA	3035733	4909159	3958154	4205509	6298548	4444803	4050050	4805395	3387246	4121908
gene28_pep4	2821233	136574	1195931	1746592	NA	1936681	688518	329603	920018	334754	637135	1467875
gene28_pep6	NA	22925	21841	30288	15569	NA	7912	19052	12183	10776	20639	16115
gene28_pep9	17545	3370	4249761	NA	NA	14520	3317	17997	10907	1824	6242	8254
gene28_pep13	70219	141176	145265	143769	86163	79796	117602	NA	89389	106305	114517	63159
gene28_pep14	88761	100204	108885	100333	95615	143214	NA	NA	NA	117610	98693	106401
gene29_pep6	637	NA	NA	NA	NA	NA	NA	1381	NA	NA	NA	423
gene29_pep8	55648	357446	1239078	848308	448848	2394653	2881	808371	NA	497301	1422548	523211
gene29_pep13	NA	69062	48044	NA	284	38301	75390	47485	NA	54802	22465	NA
gene30_pep8	10399	18574	6042	NA	14419	23194	15853	NA	NA	31934	NA	NA
gene30_pep14	10233	NA	7165	13701	5331	12391	13978	9060	8895	NA	11924	10162
gene31_pep14	181351	173432	232210	206612	141053	50758	NA	95259	324417	323450	301403	240102
gene32_pep3	NA	4043	4416	NA	NA	NA	5126	4672	2163	NA	NA	4315
gene32_pep5	160282	NA	26211	195632	74777	124755	93063	193360	60593	148752	270384	120720
gene32_pep9	373620	198533	NA	110144	127816	305135	420119	237123	147542	261703	18981	2478088
gene32_pep10	63363	31971	79347	45477	36167	46037	68772	54971	55966	NA	32965	NA
gene32_pep12	826759	1042758	577723	454339	58156	764776	433429	NA	1032317	510924	405006	284996
gene32_pep14	18651	27732	32141	NA	34450	35951	22893	29223	39535	35660	48198	31589
gene32_pep15	8050	NA	3884	NA	NA	10152	NA	NA	NA	NA	NA	6830
gene33_pep2	855	74728	11552	43259	20756	NA	NA	66163	13342	71650	101446	NA
gene33_pep3	48190	NA	13960	NA	41654	10625	21560	611	NA	29951	NA	NA
