norm	nquant	impute	iquant	scale	span	npcs	k	test	perm	nhits	ntests	time
TMM	0.75	sample_lod	0.01	1	0.5	5	7	trend	condition	0	30	14:38:24
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	trend	condition	0	30	14:38:24
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	trend	condition	0	30	14:38:25
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	trend	condition	0	30	14:38:25
TMM	0.75	unif_global_lod	0	1	0.5	5	7	trend	condition	0	30	14:38:25
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	trend	condition	0	30	14:38:25
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	trend	condition	0	30	14:38:26
TMM	0.75	sample_lod	0.01	1	0.5	5	7	deqms	condition	0	30	14:38:26
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	deqms	condition	0	30	14:38:26
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	deqms	condition	0	30	14:38:26
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	deqms	condition	0	30	14:38:27
TMM	0.75	unif_global_lod	0	1	0.5	5	7	deqms	condition	0	30	14:38:27
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	deqms	condition	0	30	14:38:27
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	deqms	condition	0	30	14:38:27
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	msqrob	condition	NA	30	14:38:28
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	msqrob	condition	NA	30	14:38:29
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	msqrob	condition	NA	30	14:38:30
TMM	0.75	unif_global_lod	0	1	0.5	5	7	msqrob	condition	NA	30	14:38:30
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	msqrob	condition	NA	30	14:38:31
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	msqrob	condition	NA	30	14:38:32
TMM	0.75	sample_lod	0.01	1	0.5	5	7	proda	condition	0	30	14:38:33
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	proda	condition	0	30	14:38:35
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	proda	condition	0	30	14:38:39
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	proda	condition	0	30	14:38:41
TMM	0.75	unif_global_lod	0	1	0.5	5	7	proda	condition	0	30	14:38:44
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	proda	condition	0	30	14:38:47
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	proda	condition	0	30	14:38:50
TMM	0.75	sample_lod	0.01	1	0.5	5	7	prolfqua	condition	0	30	14:38:51
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	prolfqua	condition	0	30	14:38:51
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	prolfqua	condition	0	30	14:38:51
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	prolfqua	condition	0	30	14:38:52
TMM	0.75	unif_global_lod	0	1	0.5	5	7	prolfqua	condition	0	30	14:38:52
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	prolfqua	condition	0	30	14:38:53
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	prolfqua	condition	0	30	14:38:53
RLE	0.75	sample_lod	0.01	1	0.5	5	7	trend	condition	0	30	14:38:54
RLE	0.75	unif_sample_lod	0	1	0.5	5	7	trend	condition	0	30	14:38:54
RLE	0.75	unif_sample_lod	0.1	1	0.5	5	7	trend	condition	0	30	14:38:54
RLE	0.75	unif_sample_lod	0.25	1	0.5	5	7	trend	condition	0	30	14:38:54
RLE	0.75	unif_global_lod	0	1	0.5	5	7	trend	condition	0	30	14:38:55
RLE	0.75	unif_global_lod	0.1	1	0.5	5	7	trend	condition	0	30	14:38:55
RLE	0.75	unif_global_lod	0.25	1	0.5	5	7	trend	condition	0	30	14:38:55
RLE	0.75	sample_lod	0.01	1	0.5	5	7	deqms	condition	0	30	14:38:55
RLE	0.75	unif_sample_lod	0	1	0.5	5	7	deqms	condition	0	30	14:38:56
RLE	0.75	unif_sample_lod	0.1	1	0.5	5	7	deqms	condition	0	30	14:38:56
RLE	0.75	unif_sample_lod	0.25	1	0.5	5	7	deqms	condition	0	30	14:38:56
RLE	0.75	unif_global_lod	0	1	0.5	5	7	deqms	condition	0	30	14:38:57
RLE	0.75	unif_global_lod	0.1	1	0.5	5	7	deqms	condition	0	30	14:38:57
RLE	0.75	unif_global_lod	0.25	1	0.5	5	7	deqms	condition	0	30	14:38:57
RLE	0.75	unif_sample_lod	0	1	0.5	5	7	msqrob	condition	NA	30	14:38:58
RLE	0.75	unif_sample_lod	0.1	1	0.5	5	7	msqrob	condition	NA	30	14:38:59
RLE	0.75	unif_sample_lod	0.25	1	0.5	5	7	msqrob	condition	NA	30	14:39:00
RLE	0.75	unif_global_lod	0	1	0.5	5	7	msqrob	condition	NA	30	14:39:01
RLE	0.75	unif_global_lod	0.1	1	0.5	5	7	msqrob	condition	NA	30	14:39:01
